"http_method",url
GET,"https://api.example.com/users"
POST,"https://shop.website.com/checkout"
GET,"https://blog.site.org/articles/tech-trends-2025"
POST,"https://auth.service.net/login"
GET,"https://cdn.assets.io/images/banner.jpg"
POST,"https://forms.company.com/contact-submit"
GET,"https://news.portal.edu/latest"
POST,"https://payment.gateway.biz/process"
GET,"https://docs.platform.dev/api/v1/reference"
POST,"https://user.dashboard.app/profile/update"
GET,"https://static.resources.org/css/styles.css"
POST,"https://survey.research.gov/responses"
GET,"https://weather.service.com/forecast/chicago"
POST,"https://newsletter.signup.net/subscribe"
GET,"https://search.engine.io/results?q=machine+learning"
POST,"https://admin.panel.co/settings/save"
GET,"https://download.files.edu/documents/report.pdf"
POST,"https://feedback.system.org/submit"
GET,"https://maps.location.com/directions"
POST,"https://registration.event.net/register"
